query_id,query,classification,processable_entities,unprocessable_entities,justification
140,How much did I spend at Walmart on groceries?,processable,"Walmart merchant (via display_narrative ILIKE), groceries filter (via Groceries category_id or all Walmart transactions), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Walmart%', optionally filter by Groceries category_id to exclude non-grocery Walmart purchases, SUM amounts. Returns Walmart grocery spending. Query structure is valid regardless of Walmart presence in data."
141,What is my current bank account balance?,processable,"current account balance (via balance field from most recent transaction)","","Can get most recent transaction (ORDER BY transaction_booking_timestamp DESC LIMIT 1), return balance field which represents current account balance after that transaction. If multiple accounts exist, may need to specify which account or return balances for all accounts. Returns current bank account balance."
142,What is my total spending this month?,processable,"total spending (transaction_type = 'spending'), current month filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'spending', filter by current month, SUM amounts. Returns total spending for current month."
143,How much did I spend at McDonalds in May?,processable,"McDonalds merchant (via display_narrative ILIKE), May filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%McDonald%', filter by May (year unspecified - could be current or most recent May), SUM amounts. Straightforward merchant + month aggregation."
144,How much did I pay for my utility bill in January?,processable,"utility bills (via Bills > Utilities category_id: 2d30087a-c45f-c26d-d289-95ea196db353), January filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Utilities category_id, filter by January (year unspecified - could be current or most recent January), SUM amounts. Returns total utility bills paid in January."
145,Are there any refunds expected in my predicted expenses for next month?,unprocessable,"future refund prediction","future event prediction - only historical transaction data available","Cannot predict future refunds. Transaction data shows historical refunds only, not expected future refunds. Refunds are typically reactive events (purchase returns, billing corrections) that cannot be predicted from transaction history alone."
146,What is my total estimated spending for groceries dining out and online shopping in the next 7 days?,unprocessable,"future spending estimation for next 7 days","future spending prediction - only historical transaction data available","Cannot predict future spending. Transaction data shows historical patterns only, not upcoming purchases or spending plans. Would need predictive model trained on historical data, shopping lists, or scheduled payments to estimate next 7 days' spending."
147,What is my forecasted spending on travel for the next 3 months?,unprocessable,"future travel spending forecast","future spending prediction - only historical transaction data available","Cannot forecast future travel spending from transaction data alone. Would need predictive model, travel booking pipeline, or scheduled trip information. Historical travel patterns don't reliably predict future spending (travel is often irregular and planned)."
148,What is my estimated yearly spending on Amazon based on the last 6 months?,processable,"Amazon spending extrapolation (via display_narrative ILIKE), last 6 months historical data (via transaction_booking_timestamp), annualization calculation","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%', filter by last 6 months, SUM amounts, multiply by 2 to annualize (6 months × 2 = 12 months). Returns estimated yearly Amazon spending based on recent 6-month average. Note: This is extrapolation not prediction - assumes current spending rate continues."
149,Can you track my spending on food and bills for this month?,processable,"food and bills spending (via Groceries, Eating out, and Bills categories), current month filter (via transaction_booking_timestamp), spending tracking by category","","Can filter by food categories (Groceries, Eating out) and Bills category, filter by current month, group by category, SUM amounts per category. Returns breakdown of food and bill spending for current month with ongoing totals."
150,How would cutting down on eating out affect my ability to save £500 this month?,processable,"eating out spending reduction scenario (via Eating out category_id), current month spending (via transaction_booking_timestamp), hypothetical savings calculation, £500 target comparison","","Can calculate current month eating out spending (Eating out category_id), show different reduction scenarios (e.g., 25%, 50%, 100% reduction), calculate hypothetical savings, compare to £500 target. E.g., if spending £300 on dining, 50% reduction saves £150 toward £500 goal. Returns scenario analysis with gap to savings target."
151,How much did I spend at The Italian Place last month?,processable,"The Italian Place merchant (via display_narrative ILIKE), last month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Italian Place%', filter by last month, SUM amounts. Straightforward merchant aggregation. Restaurant name may have variations in display_narrative."
152,How many transactions have I made this month?,processable,"all transactions, current month filter (via transaction_booking_timestamp), transaction count","","Can filter by current month, COUNT transactions. Returns total transaction count for current month regardless of type."
153,How much would I save if I reduce my travel expenses by 20 percent in the last 6 months?,processable,"travel expenses reduction scenario (via Transport category_id), last 6 months historical data (via transaction_booking_timestamp), 20% reduction calculation","","Can filter by Transport category_id, filter by last 6 months, SUM amounts to get actual spending, multiply by 0.20 to calculate 20% savings. Returns hypothetical savings amount. Note: This is retrospective calculation showing what savings would have been, not future prediction."
154,What was my biggest expense last month?,processable,"biggest expense (via amount magnitude), last month filter (via transaction_booking_timestamp), spending filter (transaction_type), maximum identification","","Can filter by last month AND transaction_type = 'spending', find MIN(amount) since spending is negative (most negative = biggest expense) or MAX(ABS(amount)), return transaction with merchant and amount. Returns single largest expense."
155,How can I avoid early withdrawal fees on my savings account?,unprocessable,"savings account fee avoidance advice","advice/guidance request - not a data query","Query asks for advice on avoiding fees, not transaction data retrieval. This is a procedural/guidance question that cannot be answered from transaction data. Even if withdrawal fee transactions are visible in data, cannot provide advice on fee avoidance strategies."
156,"How much money will I have left each month after accounting for my car loan payment, travel spending, and monthly bills?",processable,"monthly net calculation (total income minus car loan, travel, bills), monthly aggregation (via transaction_booking_timestamp), recurring expense identification","","Can calculate monthly pattern: filter by recent months, identify recurring car loan payment (loan category or specific merchant), sum travel (Transport category) and bills (Bills category) per month, calculate income (transaction_type = 'income') per month, subtract expenses from income. Returns average monthly remainder after specified expenses. Assumes historical pattern continues."
157,What is the total interest I will pay if I pay an extra 400 pounds monthly on my 50000 pound loan at 4 percent interest over 10 years?,unprocessable,"loan interest calculation with extra payment scenario","financial calculation - not a data query, no loan terms data available","This is a loan amortization calculation question, not a transaction data query. Requires mathematical formula for loan interest with prepayment, not data retrieval. Even if mortgage/loan transactions exist in data, transaction history doesn't contain loan terms (principal, interest rate, term length) needed for calculation. This is a financial calculator question."
158,How much did I spend at Starbucks in the last month?,processable,"Starbucks merchant (via display_narrative ILIKE), last month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Starbucks%', filter by last month, SUM amounts. Standard merchant + month aggregation."
159,How much total interest will I pay if I make monthly payments of 100 pounds on my 3000 pound credit card balance with an 18 percent APR?,unprocessable,"credit card interest calculation","financial calculation - not a data query, no credit card terms data available","This is a credit card interest calculation question, not a transaction data query. Requires credit card amortization formula, not data retrieval. Transaction data doesn't contain credit card terms (balance, APR, minimum payment) needed for interest calculation. This is a financial calculator question."
160,What will happen to my ability to afford a £250 monthly direct debit for a new car if my income decreases?,unprocessable,"affordability scenario analysis with income decrease","hypothetical scenario - not a data query, no future income data","Query asks for scenario planning (what-if analysis) about future affordability with hypothetical income decrease. Cannot answer without knowing: (1) how much income will decrease, (2) when decrease will occur, (3) other expense priorities. While can calculate current income and expenses from historical data, cannot predict future affordability without specific income reduction amount and timing."
161,What is the total amount I will pay over 5 years for a £25000 loan with a 6.9 percent interest rate if I pay an extra £100 each month?,unprocessable,"loan payment calculation with prepayment","financial calculation - not a data query","This is a loan amortization calculation question, not a transaction data query. Requires loan payment formula with prepayment, not data retrieval from transaction history. This is a financial calculator question unrelated to transaction data."
162,How much do I spend monthly on Spotify?,processable,"Spotify subscription (via display_narrative ILIKE), monthly spending pattern, amount identification","","Can filter by display_narrative ILIKE '%Spotify%', calculate typical monthly amount (MODE, AVG of monthly totals, or most recent transaction amount). Spotify is subscription service with consistent monthly payment. Returns monthly Spotify spending amount."
163,What is the exact amount I spent on Netflix in the last 3 months?,processable,"Netflix subscription (via display_narrative ILIKE), last 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Netflix%', filter by last 3 months, SUM amounts. Returns total Netflix spending in last 3 months."
164,How do I start investing in index funds?,unprocessable,"investment advice","advice/guidance request - not a data query","Query asks for investment advice/instructions, not transaction data retrieval. This is a procedural/educational question that cannot be answered from transaction data. Not a data query."
165,How much should I allocate for travel and dining out each month based on my current budget and savings goal?,unprocessable,"budget allocation recommendation","advice/recommendation request - requires optimization algorithm and user goals","Query asks for budget allocation advice/recommendation, not transaction data retrieval. While can calculate historical travel and dining spending patterns, cannot prescribe optimal allocation without knowing: (1) savings goal amount, (2) total budget, (3) other expense priorities, (4) user preferences. Requires budget optimization algorithm and user-specified constraints, not just data retrieval."
166,How much did I save in 2023?,processable,"savings/net income calculation (income minus spending), year 2023 filter (via transaction_booking_timestamp), amount aggregation","","Can calculate net savings: filter by 2023, SUM income (transaction_type = 'income') minus SUM spending (transaction_type = 'spending'). Returns net savings amount for 2023. Note: This is net cash flow, not account balance changes."
167,Can you help me set a budget for dining out and groceries for next month?,unprocessable,"budget setting assistance","advice/guidance request - not a data query","Query asks for help setting a budget, not transaction data retrieval. This is a planning/advisory request. While can show historical dining and grocery spending to inform budgeting, cannot set budgets without user input. Not a data query."
168,When will my delayed Pension Credit payment of 500 dollars be credited to my bank account?,unprocessable,"future payment timing for delayed payment","future event prediction - external payment processing","Cannot predict when delayed external payment will be credited. Transaction data shows historical payments only, not future payment schedules or delayed payment resolution timelines. This requires information from external payment provider or benefits system, not transaction history."
169,What was the $50 Amazon transaction on the 5th of this month for?,unprocessable,"transaction purpose/item identification","item-level detail - only transaction-level data available","Can identify the $50 Amazon transaction on the 5th (filter by merchant, amount, date) but cannot show what was purchased. Transaction data contains aggregate amount only, not purchase purpose or itemized details. Would need order/receipt data to show what specific items were purchased."
170,What is my total spending in the last 3 months?,processable,"total spending (transaction_type = 'spending'), last 3 months filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'spending', filter by last 3 months, SUM amounts. Returns total spending for last 3 months."
171,How much have I paid in interest on my credit card this year?,processable,"credit card interest charges (via display_narrative patterns for interest/fees or specific transaction patterns), current year filter (via transaction_booking_timestamp), amount aggregation","","Can search display_narrative for credit card interest patterns (e.g., 'INTEREST', 'CREDIT CARD INT', 'CARD FEE'), filter by current year, SUM amounts. Credit card interest charges typically appear as separate transactions with identifiable descriptions. Returns total credit card interest paid this year."
172,If I cancel my streaming subscriptions how much would I save monthly,processable,"streaming subscriptions (via D/D transactions for Netflix, Spotify, Disney Plus, Amazon Prime, etc. via display_narrative ILIKE), monthly spending calculation, cancellation savings scenario","","Can filter by proprietary_bank_transaction_code = 'D/D' AND display_narrative patterns for streaming services (Netflix, Spotify, Disney, Amazon Prime, Apple TV, etc.), calculate monthly total, show savings if cancelled (100% of current streaming spending). Returns monthly savings amount from cancelling all streaming subscriptions."
173,Was my last payment to John Smith a regular or recurring payment?,indeterminate,"John Smith recipient identification, most recent payment, payment type classification (via recurring_payment_id, proprietary_bank_transaction_code for D/D or S/O)","reliable person-to-person payment identification and name matching","Can identify most recent payment and check payment type (D/D, S/O, recurring_payment_id), but cannot reliably identify payments to 'John Smith'. Person-to-person transfers may not include recipient name in narratives, name format variations exist ('John Smith', 'J Smith', 'J. Smith', 'Smith, John'), and cannot disambiguate between multiple people named John Smith. Would need payee_name field with normalized names."
174,Has John Smith paid me the 200 dollars that was due last week?,indeterminate,"John Smith sender identification, $200 amount, last week date range (via transaction_booking_timestamp), income verification","reliable person-to-person payment identification and name matching","Can filter by transaction_type = 'income' AND ABS(amount) = 200 AND last week date range, but cannot reliably identify 'John Smith' as sender. Person-to-person transfers may show generic descriptions without sender name. If name appears, format variations and multiple John Smiths create ambiguity. Would need sender identification system or payee reference data."
175,When is the next subscription payment due?,unprocessable,"future subscription payment due date","future payment scheduling - only historical transaction data available","Cannot determine future subscription payment due dates from transaction data. Transaction data shows completed historical payments only, not scheduled future payments or payment due dates. Would need recurring payment schedule data or calendar/reminder system."
176,What are my roundup savings for the last two months?,processable,"roundup savings transactions (via display_narrative patterns like 'ROUND UP', 'ROUNDUP'), last two months filter (via transaction_booking_timestamp), amount aggregation","","Can filter by display_narrative ILIKE '%ROUND UP%' OR '%ROUNDUP%' (patterns like 'ROUND UPS TO', 'ROUNDUP SAVINGS', 'SAVINGS WEEKLY ROUNDUP'), filter by last 2 months, SUM amounts. Returns total roundup savings accumulated in last 2 months."
177,Why did I pay less credit card interest in 2023 compared to 2022?,unprocessable,"credit card interest comparison and causality explanation","causality explanation - requires external context","Can compare credit card interest amounts between 2023 and 2022 (filter for interest charges, group by year, compare totals). However, cannot explain WHY interest decreased (lower balance, lower APR, more/earlier payments, balance transfer, etc.). Data shows WHAT changed but not WHY. Requires external context about credit usage, payment behavior, or rate changes."
178,How much more do I need to add to my current account balance to qualify for the discount on the account fee?,unprocessable,"account balance requirement for fee discount qualification","account balance - not available, fee discount thresholds unknown","Cannot determine current account balance from transaction data. Additionally, would need to know bank's fee discount qualification thresholds (e.g., maintain £X balance to waive fees), which are not in transaction data. Requires account balance and fee policy information."
179,What are my total charges including fees and interest in the last 3 months?,processable,"charges/fees/interest (via display_narrative patterns for fees, interest, charges), last 3 months filter (via transaction_booking_timestamp), amount aggregation","","Can search display_narrative for fee/interest/charge patterns (e.g., 'FEE', 'INTEREST', 'CHARGE', 'OVERDRAFT', 'BANK CHARGES'), filter by last 3 months, SUM amounts. Returns total of all bank fees, interest charges, and other charges in last 3 months."
180,How much money do I have left in my shopping budget for this month?,processable,"shopping budget (from budgets table via Shopping category_id), current month shopping spending (via transaction_booking_timestamp and category_id), budget remainder calculation","","Can join to budgets table to get shopping budget amount, calculate current month shopping spending (Shopping category_id), subtract: budget_remaining = budget.amount - current_month_spending. Returns remaining shopping budget for current month (positive = under budget, negative = over budget)."
181,How much did I spend on Amazon in 2023 and 2024?,processable,"Amazon merchant (via display_narrative ILIKE), years 2023 and 2024 filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation by year","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%', filter by years 2023 and 2024, group by year, SUM amounts per year. Returns Amazon spending for both years with comparison."
182,What is my total spending in the last 3 months?,processable,"total spending (transaction_type = 'spending'), last 3 months filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'spending', filter by last 3 months, SUM amounts. Returns total spending for last 3 months. Duplicate of query 170 and 183."
183,What is my smallest grocery transaction in the last 3 months?,processable,"groceries category (via category_id: e63f7849-c0c0-012e-440e-3d0bc2c8ea94), last 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), minimum identification","","Can filter by Groceries category_id, filter by last 3 months, find MIN(ABS(amount)) or smallest absolute value. Returns smallest grocery purchase amount and transaction details."
184,What is my total spending in the last month?,processable,"total spending (transaction_type = 'spending'), last month filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'spending', filter by last month, SUM amounts. Returns total spending for last month."
185,my total spend in travel in 6 months,processable,"travel/transport spending (via Transport category_id: 0dd00427-7f5b-bbff-d7c5-f65743115d73), 6 months filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Transport category_id, filter by last 6 months (or past 6 months), SUM amounts. Returns total travel spending for 6 month period."
186,show my travel cost,processable,"travel/transport costs (via Transport category_id: 0dd00427-7f5b-bbff-d7c5-f65743115d73), spending filter (transaction_type), transaction list or aggregation","","Can filter by Transport category_id, return list of travel transactions with dates, merchants, amounts, or SUM total. Query lacks time range so return recent travel costs or all historical. Returns travel cost breakdown."
187,show bill,processable,"bills transactions (via Bills category_id: 7186ed64-50c3-96c1-85d8-e6af2b21407c), transaction list","","Can filter by Bills category_id, return list of bill transactions with dates, merchants, amounts, types. Query lacks time range so return recent bills or all historical. Returns bill payment list."
188,spend mrch and feb,processable,"spending in March and February (interpreting 'mrch' as March), spending filter (transaction_type), date filters for specific months, amount aggregation","","Can filter by transaction_type = 'spending', filter by March and February months (year unspecified - likely current year or most recent), SUM amounts per month or combined total. Returns spending for March and February."
189,what refunds,processable,"refunds (via transaction_type = 'income' or Income > Refund category_id), transaction list","","Can filter by transaction_type = 'income' OR Refund category_id, return list of refund transactions with merchants, amounts, dates. Query lacks time range so return recent refunds or all historical. Returns refund transaction list."
190,spend in nike and adidas,processable,"Nike and Adidas merchants (via display_narrative ILIKE), spending filter (transaction_type), amount aggregation","","Can filter by (display_narrative ILIKE '%Nike%' OR '%Adidas%'), filter by transaction_type = 'spending', SUM amounts or return transaction list. Query lacks time range so aggregate all historical spending at these merchants. Returns Nike and Adidas spending totals."
191,What did I spend on bills and travel?,processable,"bills and travel spending (via Bills and Transport category_ids), spending filter (transaction_type), amount aggregation","","Can filter by (category_id IN Bills, Transport), filter by transaction_type = 'spending', group by category, SUM amounts. Query lacks time range so aggregate all historical or recent period. Returns bills and travel spending totals."
192,total bills,processable,"bills total (via Bills category_id: 7186ed64-50c3-96c1-85d8-e6af2b21407c), spending filter (transaction_type), amount aggregation","","Can filter by Bills category_id, filter by transaction_type = 'spending', SUM amounts. Query lacks time range so aggregate all historical bills or recent period. Returns total bills paid."
193,What is my total spending in the last six months?,processable,"total spending (transaction_type = 'spending'), last 6 months filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'spending', filter by last 6 months, SUM amounts. Returns total spending for last 6 months."
194,What is my total spending across all merchants in the last six months?,processable,"total spending across all merchants (transaction_type = 'spending'), last 6 months filter (via transaction_booking_timestamp), amount aggregation, optional merchant breakdown","","Can filter by transaction_type = 'spending', filter by last 6 months, SUM amounts for total or GROUP BY display_narrative for per-merchant breakdown. Returns total spending and optionally breakdown by merchant."
195,What is my total loan payment in the last 2 years?,processable,"loan payments (via Bills > Loan category or Mortgage category), last 2 years filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by loan-related category_ids (Mortgage: f6e2f550-f61d-6ffe-d2a9-6db891b382d1, or general Loan categories), filter by last 2 years, SUM amounts. Returns total loan payments made in last 2 years."
196,What is the total amount I have paid towards my loans in the last 2 years?,processable,"loan payments (via loan-related category_ids), last 2 years filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Identical to query 195 - can filter by loan categories (Mortgage, etc.), filter by last 2 years, SUM amounts. Returns total loan payments."
197,spending in bus tickets?,processable,"bus ticket spending (via Coach/Regional Travel category or display_narrative patterns for bus operators), spending filter (transaction_type), amount aggregation","","Can filter by Coach category_id (527d649d-16e7-bcb2-ba53-845b259c4142) or Regional Travel, or display_narrative patterns for bus operators (Arriva, FirstGroup, Lothian Buses), SUM amounts. Query lacks time range so aggregate all historical bus spending. Returns bus ticket spending total."
198,spending in bus tickets in the last 3 months,processable,"bus ticket spending (via Coach/Regional Travel category or display_narrative patterns), last 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Coach/Regional Travel category_ids or bus operator patterns in display_narrative, filter by last 3 months, SUM amounts. Returns bus ticket spending for last 3 months."
199,How many transactions did I make in Scotland versus England in the last month?,indeterminate,"geographic transaction filtering (Scotland vs England via location data), last month filter (via transaction_booking_timestamp), transaction count by location","reliable geographic identification from transaction data","Can filter by last month, but cannot reliably determine transaction location (Scotland vs England) without geographic data. Display_narrative may contain some location names (e.g., 'Edinburgh', 'London', 'GLASGOW') but this is inconsistent and incomplete. No dedicated country/region field. Cannot accurately split transactions by Scotland vs England without explicit location tagging in data."
200,How much do I have left at the end of each month in 2023?,processable,"monthly net income calculation (income minus spending per month), year 2023 filter (via transaction_booking_timestamp), monthly breakdown","","Can filter by 2023, group by month, calculate monthly income (transaction_type = 'income') minus monthly spending (transaction_type = 'spending') for each month. Returns net remaining amount per month in 2023. Note: This is net cash flow per month, not account balance."
201,Can you show me a summary of my recent transactions?,processable,"recent transactions summary, transaction list","","Can filter by recent time period (e.g., last 30 days, last week), return list of transactions with dates, merchants, categories, amounts. 'Recent' interpreted as most recent time period. Returns transaction summary."
202,Can you show me a breakdown of my expenses for the past three months,processable,"expense breakdown (by category or merchant), past 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), aggregation by category","","Can filter by transaction_type = 'spending', filter by past 3 months, group by category_id or display_narrative, SUM amounts per group. Returns expense breakdown showing spending by category/merchant for last 3 months."
203,Can you show me a list of my biggest transactions this month?,processable,"biggest transactions this month (via amount magnitude), current month filter (via transaction_booking_timestamp), ranking by amount","","Can filter by current month, order by ABS(amount) DESC, LIMIT to top N (e.g., 10-20). Returns list of largest transactions this month with merchants, dates, amounts."
204,How many times has my account balance dropped below 2000 pounds in the last year,processable,"account balance threshold detection (via balance field < 2000), last year filter (via transaction_booking_timestamp), transition counting","","Can filter by last year, check WHERE balance < 2000 to identify when balance was below threshold. To count 'how many times' it dropped below (not just how many transactions while below), need to identify transitions from above to below threshold: compare current balance < 2000 AND previous balance >= 2000. Can use LAG window function or self-join to detect threshold crossings. Returns count of times balance dropped below £2000 during last year."
205,What is the trend of my monthly spending on Entertainment merchant category in 2023?,processable,"Entertainment category spending trend (via Fun & leisure category_id: 2b01b420-7e0e-bcee-fbf9-cc79dfd2a5e4), year 2023 filter (via transaction_booking_timestamp), monthly aggregation and trend analysis","","Can filter by Entertainment/Fun & leisure category_id, filter by 2023, group by month, SUM spending per month, show time series trend (increasing, decreasing, stable). Returns monthly Entertainment spending amounts for 2023 showing trend pattern."
206,What is the correlation between my account balance and my total monthly spending,processable,"correlation analysis between account balance (via balance field) and monthly spending, statistical calculation","","Can extract balance values and monthly spending amounts: group transactions by month, calculate monthly spending SUM, get end-of-month balance (last transaction balance per month), then calculate correlation coefficient between the two series. Requires statistical correlation formula (Pearson's r) which can be computed via SQL window functions or post-processing. Returns correlation coefficient showing relationship between balance and spending."
207,What is the month over month growth rate of my spending in each merchant subcategory,processable,"merchant subcategories (via category_id tier 3), monthly spending aggregation (via transaction_booking_timestamp), month-over-month growth calculation","","Can group by category_id (tier 3 subcategories) and month, SUM spending per category per month, calculate MoM growth rate: ((current_month - previous_month) / previous_month) × 100. Use LAG window function or self-join. Returns growth rate percentage for each subcategory. Duplicate of query 57."
208,What is the percentage of my total spending that each merchant category represents and how has this percentage changed month over month,processable,"spending by category percentage (via category_id), month-over-month percentage change, total spending calculation","","Can group by category_id and month, calculate: (category_spending / total_spending) × 100 per month, track percentage changes month-over-month for each category. Returns each category's share of total spending and how that share changed over time."
209,What is the trend of my monthly spending in each merchant category over the past year and how does this compare to the trend of my overall monthly spending,processable,"category-wise monthly spending trends (via category_id), past year filter (via transaction_booking_timestamp), total monthly spending trend, comparative analysis","","Can filter by past year, group by category_id and month, calculate monthly totals per category and overall total, show trend patterns for each category vs overall trend. Returns time series showing how each category's spending trended compared to total spending trend over past year."
210,What was my account balance at the end of 2023 and how much did I spend on online shopping?,indeterminate,"account balance at end of 2023 (via balance field from last 2023 transaction), online shopping spending aggregation","online shopping identification unreliable","Can get balance at end of 2023 by finding last transaction in 2023 (WHERE YEAR = 2023 ORDER BY transaction_booking_timestamp DESC LIMIT 1), return balance field. However, online shopping part is unreliable: cannot comprehensively identify all online purchases without dedicated indicator. Some merchants have '.com' or 'ONLINE' in display_narrative, DPC transaction code may indicate online payments, but cannot capture all online shopping. First part processable, second part indeterminate."
211,Am I spending more or less a month than I did last year?,processable,"average monthly spending comparison (current year vs last year), spending filter (transaction_type), monthly aggregation and comparison","","Can calculate average monthly spending for current year vs last year: group by year and month, calculate AVG monthly spending per year, compare. Returns comparison showing if spending more or less per month now vs last year."
212,What is my biggest outgoing?,processable,"biggest outgoing transaction (via amount magnitude), spending filter (transaction_type), maximum identification","","Can filter by transaction_type = 'spending', find MIN(amount) since spending is negative (most negative = biggest outgoing) or MAX(ABS(amount)). Returns single largest expense transaction with merchant and amount. Duplicate of query 154."
213,How many days was I overdrawn last year,processable,"overdrawn days count (via balance field < 0), last year filter (via transaction_booking_timestamp), distinct date counting","","Can filter by last year WHERE balance < 0, COUNT DISTINCT dates when balance was negative. This gives count of days with at least one overdrawn transaction. Note: If multiple transactions per day, this counts the day once. If need continuous daily count (including days without transactions), would need to generate date series and check balance on each day. Returns count of days when account was overdrawn last year."
214,What percentage of my total expenses was spent on subscriptions this year and how has that changed each month,processable,"subscription spending percentage (via D/D transactions), total expenses, current year filter (via transaction_booking_timestamp), monthly percentage tracking","","Can filter by proprietary_bank_transaction_code = 'D/D' for subscriptions, filter by current year, group by month, calculate (subscription_spending / total_spending) × 100 per month, track monthly changes. Returns monthly subscription percentage of total expenses throughout year."
215,What was my total spending on food last year compared to this year?,processable,"food spending (via Groceries and Eating out categories), last year vs this year filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation and comparison","","Can filter by food categories (Groceries, Eating out), group by year (last year vs current year), SUM amounts per year, compare totals. Returns year-over-year food spending comparison."
216,When is my car insurance due for renewal?,unprocessable,"car insurance renewal due date","future event information - not available in transaction data","Cannot determine future insurance renewal dates from transaction data. Transaction data shows historical insurance payments only, not policy terms or renewal dates. Would need insurance policy data or renewal schedule information."
217,Details of fortnightly Wednesday payments also monthly Monday payments from the DWP,processable,"DWP payments (via display_narrative patterns for DWP), payment details, fortnightly Wednesday and monthly Monday pattern identification","","Can filter by display_narrative patterns for DWP (Department for Work and Pensions), group by day-of-week, filter for Wednesday and Monday payments, show amounts and dates. Can verify fortnightly Wednesday pattern (every 2 weeks) and monthly Monday pattern. Returns detailed list of DWP payments with payment frequency patterns."
218,How much have I saved this year?,processable,"savings this year (net income minus spending), current year filter (via transaction_booking_timestamp), amount calculation","","Can filter by current year, calculate SUM income minus SUM spending. Returns net savings amount for current year. Note: This is net cash flow, not account balance change. Duplicate of query 166."
219,Did I send that money to X,indeterminate,"transfer to recipient X (via display_narrative patterns), amount (unspecified), transfer identification","vague reference to person/entity 'X' and 'that money' without specifics","Duplicate of query 93 - query references 'X' (unclear who) and 'that money' (unclear amount/timing). Too vague to process reliably without additional context. Would need clarification on recipient identity and amount/timing."
220,Has X sent me the money they owe me,indeterminate,"income from sender X (via display_narrative patterns), amount owed (unspecified)","vague reference to person/entity 'X' and unknown amount","Query references 'X' (unclear who) and 'the money they owe me' (unclear amount). Cannot identify transaction without knowing: (1) who 'X' is, (2) amount owed. Too vague without specifics on sender identity and amount."
221,How much money have I sent to John since August?,indeterminate,"John recipient identification, August onwards filter (via transaction_booking_timestamp), outgoing transactions (transaction_type = 'spending'), amount aggregation","reliable person-to-person payment identification and name matching","Can filter by transaction_type = 'spending' AND date >= August, but cannot reliably identify payments to 'John'. Person-to-person transfers may not include recipient name in narratives, or name format may vary ('John', 'J Smith', 'Johnathan'). Cannot disambiguate between multiple people named John. Would need payee_name field or transfer reference data with normalized names."
222,I have got a payment to aspire teaching can you tell me what this is please,indeterminate,"aspire teaching payment (via display_narrative ILIKE), payment identification and purpose","transaction purpose explanation - limited information available","Can find the 'aspire teaching' transaction by filtering display_narrative ILIKE '%aspire teaching%', return amount, date, transaction details. However, cannot explain what the payment is FOR beyond merchant name. Transaction data doesn't contain purchase purpose or itemized details. Can confirm transaction exists but cannot explain the nature of the service/purchase."
223,Where is most of my cash going?,processable,"spending distribution by category or merchant, spending ranking","","Can filter by transaction_type = 'spending', group by category_id or display_narrative, SUM amounts per group, order DESC. Returns top spending categories/merchants showing where money is going. 'Cash' interpreted colloquially as money, not literal cash transactions."
224,Am I spending more than usual?,processable,"spending pattern comparison (recent period vs historical average), spending trend analysis","","Can calculate recent spending (e.g., last month, last 3 months) vs historical average spending (e.g., average monthly spending over past year), compare to determine if current spending is above/below normal. Returns comparison showing if spending more or less than usual with amounts."
225,Did I stay within my budget?,processable,"budget comparison across categories (via budgets table), recent period spending aggregation, budget threshold comparison","","Can join to budgets table, filter by recent period (e.g., last month, this month), group by category_id, compare spending to budget.amount per category, determine if stayed within budget overall. Returns boolean answer and category-level budget compliance details."
226,Was there a spike in spending recently?,indeterminate,"spending spike detection (outlier identification), recent period analysis","spike definition - requires statistical threshold or user-defined criteria","Can show recent spending levels and compare to historical averages to identify potential spikes. However, 'spike' is subjective without defining threshold (e.g., >2 standard deviations, >X% increase). Could show recent high spending periods but cannot definitively classify as 'spike' without criteria. Would need statistical anomaly detection or user-specified spike threshold."
